song_id,stream_year,stream_month,stream_id,song,username
NL577,2005,JULY,SODHVES12A6701CE6B,Crawl Before You Ball (Album Version),kmacgebenay1t
OBFMN,2000,JULY,SOXIATP12AAF3B2184,Cooler Than You,nrollinsonu
MO6YC,2005,DECEMBER,SOGNQWU12A8AE4868F,Crossfire,lgoodbarneh
03F92,2016,DECEMBER,SOYQOFI12A6D4F76E1,La Culpa,jlehrmann2c
ONIBI,2001,DECEMBER,SOVOLGY12A6D4F822B,Hourglass,lbeavon1w
APPKL,2014,MAY,SOMZCVH12AB0182B8E,Letter To Heaven,abrayshayr
34YKC,2009,SEPTEMBER,SONXJBL12AAF3B2C0C,Panama (Remastered Album Version),cglentworth23
VLV2E,2004,NOVEMBER,SOYWZTU12AB0180E26,Three Is a Crowd,cfarmiloey
1HDLU,2001,JANUARY,SOLGHDZ12AB0183B11,Laws Patrolling (Album Version),ahatt20
EXKYF,2008,MARCH,SOTNTNJ12AAA15FBD6,Entre Caníbales,chazart3
WGIFK,2022,APRIL,SOXZXXV12AAF3B3A67,Stream,idanzigb
I28II,2013,OCTOBER,SOPIKEG12A58291636,Inside Job,bcatley1u
1U4ON,2009,JANUARY,SOIRNBO12AC468D207,Going Down Slow,bjeal2m
YVTP7,2020,SEPTEMBER,SOSBDSF12AB0189007,Deform (live),srizziz
A16GS,2015,OCTOBER,SOIJXXM12A8C1416D6,Didn't Mean To,fscougal2l
8XNC3,2017,SEPTEMBER,SOHMMMC12AB0181C42,Cocain Ducks,spalfriew
O0H3W,2017,FEBRUARY,SOVJXVJ12A8C13517D,Barking Dogs (From Piouhgd),chazart3
MUH9O,2005,OCTOBER,SOFZCTA12AB0188D8F,Hanging On (Medium Key Performance Track Without Background Vocals),hwoolner1f
NH39Q,2012,JULY,SOLRYQR12A670215BF,Grim Prospects (Gross Prospects - Bad Trip Remix),cwardesworth28
K1769,2012,JANUARY,SOCHRXB12A8AE48069,Snowball,cheliot1s
PYN4E,2019,AUGUST,SOKBBXO12A6701DEA0,Johnny Loves Me (LP Version),cglentworth23
0SG0H,2019,DECEMBER,SOWHYUG12A58A77FAB,Amalgama,swaymont1d
78TKQ,2013,JULY,SOYSTDI12A6D4F6500,Next Time,lcashell2o
HCOUL,2018,APRIL,SOOOROX12A6D4F8400,Christmas In Jamaica,fmcaw7
D3EY3,2004,MAY,SONSPZE12AB01819CE,Openbare Weg,lbittlestone12
F8PS7,2003,FEBRUARY,SOHWGFU12AB017B036,You Can Still Be Free,jfinkle2j
K1769,2022,AUGUST,SOQQVQJ12AB0185192,Snowball,srizziz
QARJI,2009,MARCH,SODRHHD12AB0189F2A,Blue Taxi,spalfriew
629U6,2014,JANUARY,SOQGFVO12A8C13C8C3,I Will Love Again (JJ's Club Radio),hwoolner1f
2D0PG,2000,MARCH,SORABMD12A8C136672,Face the Ashes,lcashell2o
CRU9S,2009,FEBRUARY,SOTUBVH12AB018D2EC,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),abraidford4
LYLJB,2018,JULY,SOMQAGT12A8C132DB4,Bulgarian Dream,nlatus17
FAPPT,2018,APRIL,SOKLLOH12A67020F2C,Sohna Nee Sohna Data,bcatley1u
YVTP7,2000,AUGUST,SONRLQH12AB017C232,Deform (live),dkilalea19
GUHV4,2006,JUNE,SODDZAD12A6701DC4C,Setting Fire to Sleeping Giants,lbittlestone12
3XOKT,2022,SEPTEMBER,SORENXV12A6701F61F,Silent Hill,eelcoate
ZTH8T,2010,MARCH,SOYMMDY12AB01825B2,Opus a Satana (Part 2),dkilalea19
18RC9,2020,OCTOBER,SOJWQIP12A6D4F710A,This Melody (Live),cpalatino29
OOPDZ,2014,MARCH,SOOVOKS12AB017EE57,High Tide,afiveash1i
X0WX0,2005,MAY,SORWHWY12A6702038E,Hell,gswinden2a
7HVX3,2011,JANUARY,SOGYYLE12A8C13E5EA,Waiting,crubberts25
0X7DH,2021,AUGUST,SOITUXQ12AB0183AE9,Indian Love Call,cheliot1s
5P8JY,2001,JUNE,SOTWEZZ12A8C142B60,Medicate Myself,chazart3
5FHVB,2014,JUNE,SOUVRGZ12A58A77F90,Jogo Limpo,swaymont1d
34R2B,2012,DECEMBER,SOBLTSM12A6D4F9EEA,It's My Party,bstockau15
CSX4M,2011,AUGUST,SOUQVUD12A8C142DCE,Certain Things We Do,ascowcroft1a
ZDZL0,2016,AUGUST,SOCRPDR12AB0185B75,Human Cannonball,gcarmont2r
UQ18C,2007,APRIL,SOXVBVL12AF72A600C,Drunk Alone,castles2n
34YKC,2020,NOVEMBER,SOIQHDR12AB01896C8,Panama (Remastered Album Version),apickard18
MG9B6,2004,JUNE,SODLSHA12AAF3B29F2,Human Being,kmatheson1h
PIQIP,2021,JANUARY,SOAGHMH12AB0180285,Come Over,ecatlette2i
5C74A,2007,FEBRUARY,SORAVUP12AB018556E,Crazy Mixed Up World,hdenecamp2f
43G57,2017,DECEMBER,SOFXNQP12AB0184F1A,Grim Prospects (Version 2 Remix),gkrystofg
VZB4O,2018,JULY,SOGQTRZ12A8C13C8B0,I Can't Stop Loving You,lcashell2o
YKCIO,2020,NOVEMBER,SOBHVZQ12AC9618285,Ma Louise,bjeal2m
X0WX0,2014,OCTOBER,SOYPBCY12AB0181EF3,Hell,gcarmont2r
1DP6M,2021,DECEMBER,SOWRLSY12AC4687694,Make Me Over,wshellibeer1l
O0H3W,2000,NOVEMBER,SOOGQWR12A8C142505,Barking Dogs (From Piouhgd),hdenecamp2f
O0H3W,2008,NOVEMBER,SOJDYQY12AB0188C97,Barking Dogs (From Piouhgd),kmatheson1h
XKQHN,2011,MAY,SOBHQUF12AB018B03E,My Four Reasons,afiveash1i
W3OGE,2015,OCTOBER,SOFRAZJ12A8C143CDB,Sudanese Dance,dmacoureks
25EVD,2001,JUNE,SONNDHT12A8C13F20B,Our Love Is Here To Stay,fscougal2l
6XY15,2001,SEPTEMBER,SOYZOXW12A8C13E195,Kolomeyke,nlatus17
V6S0U,2003,NOVEMBER,SOSGJTX12AB0181F7C,Wake,cpalatino29
V0C18,2014,FEBRUARY,SOBQBWP12AB018611B,Ciao Milan,abraidford4
O6UIO,2010,OCTOBER,SODULLV12AB017FA09,You Feel Good All Over,pmcgarrie5
XJ324,2008,AUGUST,SOYAGJM12A8C13DCCE,Take A Look  (LP Version),jstiles1q
78R6N,2020,JUNE,SORXUZZ12A8AE4798A,Keepin It Real (Skit),groeby10
34YKC,2011,JULY,SOCHXAE12AF72A25D6,Panama (Remastered Album Version),ggibbyv
YRFQR,2017,APRIL,SOCRHCQ12A58A7C8C6,I Can't Be Satisfied,skeelinl
0Q2PJ,2010,NOVEMBER,SOSEJIQ12AB017E7EB,Auguri Cha Cha,lbittlestone12
U6HD7,2007,OCTOBER,SOMXWXQ12AC3DFA002,Mangos,wshellibeer1l
9GJN7,2012,FEBRUARY,SOGMXBW12A6D4FB8D7,Midnight Swim,apickard18
P5U1E,2020,APRIL,SOOPUTF12AB018DFAA,Wanna Be A Player,bjeal2m
OI21N,2002,APRIL,SOFDTRZ12AB018DD11,Hate,vburburough21
AV18H,2022,JULY,SOOGNJP12A8C1381AD,Deep Sea Creature,mstoopc
O6UIO,2002,OCTOBER,SOFUBCP12A8C13D5EF,You Feel Good All Over,cbarfitt0
XRUC9,2001,DECEMBER,SOVZBDR12A6702012E,Amor De Cabaret,abraidford4
29S59,2016,JUNE,SOPWKSS12AC468E659,Dearly Beloved,vfursland26
EXKYF,2021,APRIL,SOCCQIQ12A8C13C76B,Entre Caníbales,amacgovern2q
ANY79,2000,FEBRUARY,SODBMZD12A8C134232,More And More  (LP Version),gkrystofg
7WNWB,2012,OCTOBER,SOBUWPY12A8C1446C0,Synthetic Dream,aabelovitz1
2JZ1U,2019,MAY,SORWXUP12A58A79E65,We're Gonna Go Fishin'',ldunbavini
ONIBI,2004,JULY,SOJEVZW12A8C133988,Hourglass,ccoventon2
LYLJB,2022,JUNE,SOOODKC12AB018462F,Bulgarian Dream,sdobing1y
XG8M1,2022,JULY,SODOLVO12B0B80B2F4,Something Girls,bcatley1u
W2W31,2019,JULY,SOEHWGF12A6D4F8B2B,Stickin In My Eye,fscougal2l
2JZ1U,2015,DECEMBER,SOOZLTC12A6D4FBE91,We're Gonna Go Fishin'',ztsar2h
RZ0RX,2015,JULY,SOOSYMY12AB01888CD,Robbers Kill Cop,gcarmont2r
OQCK0,2015,DECEMBER,SOPBKEB12A6D4FD777,Charisma,kburtonwood1o
233OV,2011,MAY,SOEWQYW12AB0183FDE,Spooks In Space,wshellibeer1l
43HQW,2010,AUGUST,SOFBQIA12AB0182219,James (Hold The Ladder Steady),crobison1j
2V5RW,2018,DECEMBER,SOHDDHR12AB0183552,I See The Boys Of Summer,srizziz
0GI7Q,2000,OCTOBER,SONWQQX12AC3DF6762,Driving Home For Christmas,chazart3
MUH9O,2007,MAY,SOGXFIF12A58A78CC4,Hanging On (Medium Key Performance Track Without Background Vocals),abrayshayr
U6HD7,2008,APRIL,SOIPNSZ12A8C144128,Mangos,ahavelin1v
45GZF,2005,JUNE,SOEXSIN12A8C133B0A,All Rise,gcarmont2r
X1UK8,2010,MAY,SOTSMNJ12AB018365E,Le tortillard,spalfriew
EXKYF,2012,OCTOBER,SOLGRUN12A8C140543,Entre Caníbales,mstoopc
MUH9O,2003,OCTOBER,SOQCHGV12AC4688FC6,Hanging On (Medium Key Performance Track Without Background Vocals),uharroway2e
GZS6B,2002,FEBRUARY,SOXCWTT12AC9075756,Kassie Jones,rdelcastello2b
451YI,2005,SEPTEMBER,SOAFIPD12A8C13A261,Complicate It,lgoodbarneh
OQCK0,2022,AUGUST,SOMJPML12A8C13D74E,Charisma,cheliot1s
RRRZ5,2017,APRIL,SOCVDYI12AC4687DDB,Movement 4 [from Kiss] (Album Version),cfarmiloey
BLZUH,2013,DECEMBER,SOEVGMZ12A8C1421B5,Rosemary Recalls,laddis1k
233OV,2019,MAY,SOCGURJ12AB0182AEE,Spooks In Space,bebbitt1r
7WNWB,2012,DECEMBER,SOHTWLT12A8C13CFE1,Synthetic Dream,hdenecamp2f
5FHVB,2009,NOVEMBER,SOVQZYP12A8C144692,Jogo Limpo,apickard18
DHPUE,2007,AUGUST,SOHHANU12A58A77C66,Biding Her Time,dmacoureks
XJ324,2003,JANUARY,SOTHWPG12AB018C90E,Take A Look  (LP Version),eelcoate
04LKM,2018,JUNE,SOOQHNV12AB0186CD4,Spanish Grease,rdelcastello2b
PXG9L,2017,NOVEMBER,SOSGXRU12AAF3B2B07,Caught In A Dream,ahatt20
Q589T,2016,JANUARY,SOFRUDU12A8C13A40C,Stone Cold Fingers (Bonus Track),lbastone11
1DP6M,2002,FEBRUARY,SONXLQQ12AB0184B54,Make Me Over,crobison1j
QIYSL,2011,DECEMBER,SOKPHVH12AB0187460,Drop of Rain,sjosland22
0X7DH,2020,NOVEMBER,SOIUGDX12A6D4FDECA,Indian Love Call,ldunbavini
QS7P6,2000,NOVEMBER,SOAYYDM12AB01817E6,Antifragile,crobison1j
34YKC,2010,MARCH,SORAJXA12A58A7A4C9,Panama (Remastered Album Version),mstoopc
CRU9S,2013,FEBRUARY,SODJUNF12A8C13337F,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),ccoventon2
03F92,2018,JUNE,SOVDDWO12A6D4F9A78,La Culpa,sdeblasiism
RZ0RX,2004,SEPTEMBER,SOFGQAP12AB0185946,Robbers Kill Cop,bstockau15
VZB4O,2017,OCTOBER,SORGLCR12AB0184B69,I Can't Stop Loving You,kmacgebenay1t
BEJUS,2018,MARCH,SOLBIIE12AB0184DFC,No Control,hnorthfield1p
OUOJT,2011,FEBRUARY,SORHOEV12A81C20F71,Nashville Parthenon,cgrelkat
NL577,2014,MAY,SOFPYXC12A58A7A4B9,Crawl Before You Ball (Album Version),chazart3
TMSTR,2007,NOVEMBER,SOFQGCQ12AB0183609,The Emperor Falls,sdobing1y
MUH9O,2012,MAY,SOEBDBO12AC4688712,Hanging On (Medium Key Performance Track Without Background Vocals),hdenecamp2f
0DZ45,2020,MAY,SONIQSB12AB0189829,End Of The Road (Head Horny's Remix),chazart3
6PAPB,2012,DECEMBER,SOYNEII12AB0181DB6,Master Of Disharmony,dmelsomd
FAPPT,2007,APRIL,SOKIGWD12A6701DE9D,Sohna Nee Sohna Data,ccoventon2
IIU73,2001,JANUARY,SOHXKAN12AC46872F1,Snapshot,cglentworth23
APRV9,2014,JULY,SOQZHMH12A8C13A393,Sabor Guajiro,gcarmont2r
BLZUH,2022,DECEMBER,SOLEYPL12A6D4F83CE,Rosemary Recalls,laddis1k
T5CR5,2014,JULY,SOZFCNC12A6D4F76F3,Dixie,ldunbavini
EKNQ2,2017,FEBRUARY,SOPUQFS12A8C13DE1E,Monde De Fou,slanegran8
S5IN3,2017,NOVEMBER,SOPNRDT12AB018A2D8,I Want You (Forever),pmcgarrie5
87AR8,2000,MAY,SOGTLVU12A8AE47D5D,WKYA (drop),zpracy1c
ZQLMP,2019,APRIL,SOXNMDZ12A6D4FA20D,Ota kiinni,zpracy1c
KUR66,2008,OCTOBER,SOGOJBW12AB018513B,Lead Me Lord,slanegran8
6ZAIQ,2022,JANUARY,SONNOCP12A8C145220,Simon's Folly,fmcaw7
49SFO,2007,FEBRUARY,SOUDHTP12AB0183403,7 Miles,ztsar2h
0GI7Q,2014,JANUARY,SOWDEPU12A8C137B14,Driving Home For Christmas,dgerran2d
49SFO,2003,JANUARY,SOJBYGW12A8C13A497,7 Miles,cfarmiloey
7WNWB,2022,JANUARY,SOQDTQP12A6D4F793F,Synthetic Dream,sdobing1y
DENWW,2012,JUNE,SOJHKYL12A6D4FA0AC,Festa,ccoventon2
QIYSL,2005,AUGUST,SOJVWBA12AB018C326,Drop of Rain,amacgovern2q
04LKM,2005,OCTOBER,SONRSQW12A6D4F6D1C,Spanish Grease,swaymont1d
ZCJ31,2010,APRIL,SONTBYD12A58A77A29,Choro,aabelovitz1
50DKO,2006,JULY,SOMKMPB12A8C1447D0,Para Milladoiro,cfarmiloey
DDJ7Y,2004,JULY,SOSGQPS12A8AE48538,It Makes No Difference Now,lcashell2o
S5IN3,2000,OCTOBER,SOKENJQ12AB017EC8C,I Want You (Forever),abrayshayr
MANJW,2011,APRIL,SOBNTXB12A8C1428BA,Tonight Will Be Alright,emartinson1e
VLV2E,2002,JUNE,SOIKIJC12AC3DFB3D2,Three Is a Crowd,groeby10
UQ18C,2001,MAY,SOFJNQR12A6D4FAE92,Drunk Alone,cbarfitt0
IIU73,2020,OCTOBER,SOGDFIT12AB018528B,Snapshot,npeschmann1x
C0HAJ,2001,NOVEMBER,SOOIZTH12AB018C12E,Brasas Vivas,dgerran2d
5C74A,2019,DECEMBER,SOQPJUL12AB0189379,Crazy Mixed Up World,ahavelin1v
6PAPB,2022,AUGUST,SOMBQEO12A8C135018,Master Of Disharmony,dpignen
43HQW,2013,APRIL,SOCQWKZ12A8C13CE4C,James (Hold The Ladder Steady),hwoolner1f
LYLJB,2003,DECEMBER,SONETAN12A58A7ACEB,Bulgarian Dream,slanegran8
0Q2PJ,2020,DECEMBER,SOKEXTF12A8C13AE7E,Auguri Cha Cha,dmacoureks
UAH0Q,2016,AUGUST,SOUJISW12CF4E09416,Soul Deep,sdobing1y
PXG9L,2011,MAY,SOJKDKH12A58A761A2,Caught In A Dream,csnelling2g
5FHVB,2001,OCTOBER,SOTWWBZ12AB01845E0,Jogo Limpo,gcarmont2r
MO6YC,2022,AUGUST,SOKZTUH12AB018B938,Crossfire,zpracy1c
OR5JV,2002,APRIL,SOQDTZG12A8C1442E3,I Think My Wife Is Running Around On Me (Taco Hell),jlehrmann2c
87AR8,2001,OCTOBER,SOIFOLA12AB017CDA1,WKYA (drop),spalfriew
5C74A,2006,JULY,SOKHVZO12AB0184C4D,Crazy Mixed Up World,bstockau15
QIYSL,2000,AUGUST,SOMISOP12AC468D9D5,Drop of Rain,abrayshayr
KGCM9,2020,JANUARY,SOOZKNQ12A6D4F6FD4,Thank You Lord,aabelovitz1
2D0PG,2002,JANUARY,SOGOQGE12AB0182907,Face the Ashes,nrollinsonu
PYN4E,2009,NOVEMBER,SOWTIDJ12AB018808C,Johnny Loves Me (LP Version),cbarfitt0
O0H3W,2008,DECEMBER,SONIHLC12AB0187B0C,Barking Dogs (From Piouhgd),jstiles1q
T5CR5,2003,JANUARY,SOLBHCO12AB018769A,Dixie,ksciacovelli16
APRV9,2020,SEPTEMBER,SOVZVPT12AB018A59E,Sabor Guajiro,nrollinsonu
50DKO,2010,FEBRUARY,SOZWDHS12AB0188A33,Para Milladoiro,emartinson1e
P56MZ,2020,APRIL,SOFSKON12A8C13B3B5,Cheatin' In The Next Room,cpalatino29
24I1L,2000,JANUARY,SOBOCAG12A6BD55D56,Relax,lbastone11
MO6YC,2010,JULY,SONCYFS12A8C14261E,Crossfire,gkrystofg
64U1J,2009,NOVEMBER,SOTNBNN12A6D4F6CC7,I Want Love (Tween You & Me) (Album Version),bebbitt1r
3XOKT,2006,JULY,SOXZLDX12A58A7CE52,Silent Hill,cwardesworth28
YRFQR,2013,JUNE,SOEESQT12A8C13C7D5,I Can't Be Satisfied,fmcaw7
ERICV,2012,DECEMBER,SOSKUNI12AB0187F12,Taryns Deepest Fear,rdelcastello2b
MANJW,2002,NOVEMBER,SOSLFMU12AB018FFEA,Tonight Will Be Alright,npeschmann1x
9J18R,2005,MARCH,SOOKISK12AB0180667,(We Don't Need This) Fascist Groove Thang,ldunbavini
UAH0Q,2011,JULY,SOVGBEK12A8C134E04,Soul Deep,amacgovern2q
LYLJB,2001,JUNE,SORJOMF12AB0186F78,Bulgarian Dream,chazart3
QARJI,2013,JUNE,SOVTGXQ12A6D4FB9CA,Blue Taxi,cwerndly2p
GUHV4,2003,DECEMBER,SOLKTEK12AB018BE1A,Setting Fire to Sleeping Giants,dkilalea19
JL9VX,2013,AUGUST,SODYZIU12A8C13FBD9,Spontanous Combustion,dgerran2d
QIYSL,2010,DECEMBER,SOJRCDU12AB0189D27,Drop of Rain,sbum13
P5U1E,2019,NOVEMBER,SOBMHTY12AC9097B7C,Wanna Be A Player,hdepero6
S5IN3,2020,OCTOBER,SOZWHVZ12A6D4F90E7,I Want You (Forever),lbeavon1w
EKNQ2,2004,DECEMBER,SOQAHUW12AB0181F04,Monde De Fou,skeelinl
XQ5HB,2021,JULY,SOVHRBI12A81C22E02,The Vitalized Shell,nlatus17
S5IN3,2012,FEBRUARY,SOHULHF12AB017F6CF,I Want You (Forever),chazart3
7PDV5,2009,MARCH,SOFWWGY12AB0185BC5,Naked Albino,ciacovielli14
PXG9L,2018,FEBRUARY,SOEETVW12A6D4F93B8,Caught In A Dream,nrollinsonu
0SG0H,2022,OCTOBER,SOJTIKK12A8C13B15E,Amalgama,fscougal2l
VZB4O,2008,APRIL,SOQBQWN12AB0186782,I Can't Stop Loving You,lbeavon1w
QARJI,2014,MAY,SOKLQWF12A8C1423F2,Blue Taxi,ldunbavini
YTV4Q,2014,MAY,SORQLMX12A8C133FCD,Superconfidential,mlabordak
XPDQP,2000,NOVEMBER,SOCLQKJ12AF72A4AB0,(This Is Not A) Love Song (Live),cfarmiloey
2D0PG,2020,JUNE,SODWXQV12A6310F10D,Face the Ashes,chazart3
OI21N,2011,AUGUST,SORKRKK12A8C13C12F,Hate,zpracy1c
87AR8,2005,MAY,SOQPPKZ12A58A7B1EC,WKYA (drop),cheliot1s
IFAU9,2004,SEPTEMBER,SOXSUNF12A8C134195,A'chek Ouyounik (2009 Digital Remaster),lhaysom9
VZB4O,2004,MARCH,SOVRJYX12AB01844E1,I Can't Stop Loving You,vfursland26
S8CJA,2004,DECEMBER,SOMOHEI12AB018785F,Metal,lbeavon1w
2JZ1U,2012,OCTOBER,SOOGRLD12A8C132B2F,We're Gonna Go Fishin'',lbeavon1w
X0WX0,2004,OCTOBER,SODAEVD12AB01886BB,Hell,idanzigb
451YI,2018,JUNE,SOAESJW12A8C137CC2,Complicate It,castles2n
ONIBI,2004,JUNE,SOHCYVK12AB017BBF2,Hourglass,eallenf
VFOGO,2013,JANUARY,SOCWXYM12AB018BDF3,Young Boy Blues,vburburough21
APPKL,2006,JULY,SOSYVIZ12A8C141964,Letter To Heaven,wfinnie1m
RRRZ5,2009,OCTOBER,SOTVEKK12A8C1392E1,Movement 4 [from Kiss] (Album Version),eallenf
5R54M,2013,JANUARY,SOHGAJH12A6D4F8F58,Wicker Chair,wfinnie1m
UQ18C,2017,JANUARY,SOCTSJA12AC9618325,Drunk Alone,kburtonwood1o
APPKL,2002,NOVEMBER,SOTYCYE12AC468AA08,Letter To Heaven,ienriquesp
78TKQ,2013,AUGUST,SOAKXET12CF5F86E71,Next Time,laddis1k
03F92,2020,APRIL,SOYDHCW12A6D4F9A2E,La Culpa,ggibbyv
2LTE7,2009,NOVEMBER,SOGBJSK12AB018D052,Do You Finally Need A Friend,sdobing1y
6PAPB,2017,JULY,SOSTFTW12A8C13B84A,Master Of Disharmony,mlabordak
WC3OP,2014,AUGUST,SOLHFZF12AB018AB3E,2190 Dias Contigo,skeelinl
25EVD,2007,OCTOBER,SOZEHMC12A6D4F9F30,Our Love Is Here To Stay,nbeetleso
WSN3I,2001,MAY,SOYHNTG12A6D4F5703,Cowboy Ways,chazart3
H7W3W,2002,OCTOBER,SOGBRIU12A582A214C,Where The Thunder Roars (Tales Of Wonder Album Version),nlatus17
W2W31,2016,JANUARY,SOLCPEB12A58A7BF47,Stickin In My Eye,pmcgarrie5
6MIVV,2005,NOVEMBER,SOFOGMR12A8C140FFF,Let's Get It Started,slanegran8
VFOGO,2021,APRIL,SOBJYXZ12A8AE45FF1,Young Boy Blues,jfinkle2j
U6HD7,2007,AUGUST,SOGJSEF12AB01847D4,Mangos,ksciacovelli16
7WNWB,2003,JUNE,SOCVGQS12A8C13D7DF,Synthetic Dream,bstockau15
XRUC9,2008,OCTOBER,SOGVRHK12A8AE47FFB,Amor De Cabaret,cheliot1s
0GI7Q,2000,FEBRUARY,SOGGYSM12A58A79111,Driving Home For Christmas,lliellq
QIYSL,2007,MAY,SOHCENZ12A8C13AC85,Drop of Rain,eallenf
W3OGE,2010,JANUARY,SOIKVVS12AB0184063,Sudanese Dance,dmacoureks
6UV82,2020,AUGUST,SOYCTBG12A8C144341,They Say (Album),laddis1k
UIQD9,2017,JUNE,SOMCCPJ12A8C142B6B,Candy Man,nrollinsonu
